Is cuda available:  True cuda
Number of training images: 7095
Epoch 135/150, Train Loss: 0.2032506355663409, Val Loss: 8.669022628239222, R^2 Score: 0.03747844696044922
Epoch 136/150, Train Loss: 0.22483029733370016, Val Loss: 8.683095497744423, R^2 Score: 0.035854995250701904
Epoch 137/150, Train Loss: 0.2845658996553571, Val Loss: 8.647593532289777, R^2 Score: 0.03934907913208008
Epoch 138/150, Train Loss: 0.2823840678073801, Val Loss: 8.506962972027916, R^2 Score: 0.05617040395736694
Epoch 139/150, Train Loss: 0.22993506900630556, Val Loss: 8.8667265857969, R^2 Score: 0.01599341630935669
Epoch 140/150, Train Loss: 0.20056187384971627, Val Loss: 8.841137860502515, R^2 Score: 0.018988847732543945
Epoch 141/150, Train Loss: 0.15280497705077264, Val Loss: 8.50011111157281, R^2 Score: 0.05699741840362549
Epoch 142/150, Train Loss: 0.12619691481394274, Val Loss: 8.690835314137596, R^2 Score: 0.03635454177856445
Epoch 143/150, Train Loss: 0.12216910590661002, Val Loss: 8.569348709923881, R^2 Score: 0.049516141414642334
Epoch 144/150, Train Loss: 0.12907403888734612, Val Loss: 8.278939987931933, R^2 Score: 0.08103573322296143
Epoch 145/150, Train Loss: 0.15481443696462358, Val Loss: 8.6770025236266, R^2 Score: 0.03877520561218262
Epoch 146/150, Train Loss: 0.17856265866273158, Val Loss: 8.437539722238268, R^2 Score: 0.06408363580703735
Epoch 147/150, Train Loss: 0.21030672109341836, Val Loss: 8.61402062007359, R^2 Score: 0.04397237300872803
Epoch 148/150, Train Loss: 0.2388669222693991, Val Loss: 9.100688993930817, R^2 Score: -0.010127425193786621
Epoch 149/150, Train Loss: 0.2581004470184043, Val Loss: 8.46933149439948, R^2 Score: 0.060773491859436035
Epoch 150/150, Train Loss: 0.20997831007247572, Val Loss: 8.466625554221016, R^2 Score: 0.05942976474761963
